state,district_name,agro_climatic_zone,drought_prone_flag,flood_prone_flag,aspirational_district_flag,state_rural_poverty_rate_pct,state_irrigation_coverage_pct,state_avg_landholding_ha
Andhra Pradesh,Alluri Sitharama Raju,East Coast Plains and Hills Region,0,0,1,7.71,63.9,0.94
Andhra Pradesh,Anakapalli,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Ananthapuramu,Southern Plateau and Hills Region,1,0,0,7.71,63.9,0.94
Andhra Pradesh,Annamayya,Southern Plateau and Hills Region,1,0,0,7.71,63.9,0.94
Andhra Pradesh,Bapatla,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Chittoor,Southern Plateau and Hills Region,1,0,0,7.71,63.9,0.94
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,East Godavari,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Eluru,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Guntur,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Kakinada,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Krishna,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Kurnool,Southern Plateau and Hills Region,1,0,0,7.71,63.9,0.94
Andhra Pradesh,Nandyal,Southern Plateau and Hills Region,1,0,0,7.71,63.9,0.94
Andhra Pradesh,NTR,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Palnadu,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
Andhra Pradesh,Parvathipuram Manyam,East Coast Plains and Hills Region,0,0,1,7.71,63.9,0.94
Andhra Pradesh,Prakasam,East Coast Plains and Hills Region,1,0,0,7.71,63.9,0.94
Andhra Pradesh,Sri Potti Sriramulu Nellore,East Coast Plains and Hills Region,0,0,0,7.71,63.9,0.94
Andhra Pradesh,Sri Sathya Sai,Southern Plateau and Hills Region,1,0,0,7.71,63.9,0.94
Andhra Pradesh,Srikakulam,East Coast Plains and Hills Region,0,0,0,7.71,63.9,0.94
Andhra Pradesh,Tirupati,East Coast Plains and Hills Region,0,0,0,7.71,63.9,0.94
Andhra Pradesh,Visakhapatnam,East Coast Plains and Hills Region,0,0,1,7.71,63.9,0.94
Andhra Pradesh,Vizianagaram,East Coast Plains and Hills Region,0,0,1,7.71,63.9,0.94
Andhra Pradesh,West Godavari,East Coast Plains and Hills Region,0,1,0,7.71,63.9,0.94
